100	Emergency Department Technician
-1	Nailer Operator
-1	Neuroradiologist
-1	Labor Crew Supervisor
101	Outside Upholsterer
-1	Community Health Educator
-1	Secondary School Principal
-1	Dog Raiser
-1	Plastic Battery Assembler
-1	Lace Roller
-1	Language Assistant
102	Take Out Waiter
-1	Deicer Kit Assembler
-1	Organizational Development Specialist (OD Specialist)
-1	Photoengraving Retoucher
103	Hydraulic Engineer
-1	Tinsmith
104	Adaptive Physical Education Teacher (Adaptive PE Teacher)
105	Production Lapping Machine Operator
106	HVAC Service Tech (Heating, Ventilation, and Air Conditioning Service Technician)
-1	Bag Washer
-1	Map Editor
-1	Adult Daycare Coordinator
107	Welding Operator
108	Agriculture Research Director
109	Robotics Engineer
110	Electromechanical Technician
-1	Park Worker Supervisor
-1	Department Supervisor
-1	Hand Tennis Ball Coverer
-1	Merchant Patroller
-1	Sand Technician
-1	Dump Motorman
-1	State Comptroller
-1	Tractor Distributor
111	Lube Tech (Lubrication Technician)
-1	Pen or Pencil Assembly Machine Operator
-1	Soft Top Installer
-1	Halal Meat Packer
-1	Organ Tuner
-1	Pyridine Recovery Operator
-1	Product Test Specialist
-1	Talking Books Library Clerk
-1	Flange Turner
-1	Machine Design Teacher
-1	Financial Aid Coordinator
112	Fork Truck Driver
-1	Conduit Installer
-1	Metal Baler
113	Elementary School Tutor
-1	Contact Lens Lathe Operator
-1	Maple Syrup Maker
-1	Gut Snatcher
114	Radiation Therapy Dosimetrist (RT Dosimetrist)
-1	Skate Hop
115	Supply Room Clerk
-1	Claims Associate
-1	Coat Operator
24	Airline Mechanic
-1	Water Truck Driver
-1	Housing Counselor
-1	Framer
-1	Cat Breeder
-1	Screener Operator
-1	Operations Chief
-1	Core Finisher
-1	Science Teacher
-1	Clinical Program Coordinator
-1	CAT Tender (Caterpillar Tender)
-1	Vacuum Cleaner Assembler
-1	Register in Chancery
116	Instrument and Controls Technician (Instrument and Controls Tech)
-1	Bobbin Dumper
-1	Job Tracer
-1	Shank Pinner
117	Geology Technician
-1	Track Patrol
-1	Field Gauger
-1	Family Services Coordinator
-1	Linguist
118	Environmental Science Technician (Environmental Science Tech)
-1	Electronic Intelligence Officer
-1	Line Installation Supervisor
119	Rigging Supervisor
-1	Technical Architect
-1	Tube Man
-1	Dolphin Researcher
120	Computer Graphic Artist
-1	Credit Adjuster
121	Nursing Technician
-1	Drying Tumbler Operator
-1	Airplane Patroller
-1	Cadastral Engineer
122	Linoleum Floor Installer
-1	Farrowing Manager
-1	SAT Instructor (Scholastic Aptitude Test Instructor)
-1	Precision Lens Centerer and Edger
-1	Fish Filleter
123	Medical-Surgical Registered Nurse (Med-Surg RN)
-1	Car Dryer
124	Hand Sander
-1	Reimbursement Director
-1	Revolving Inventory Clerk
125	Counterintelligence/Human Intelligence, Senior Sergeant
126	Heart Surgeon
127	Residential Finish Carpenter
-1	Drying Machine Tender
-1	Paralegal Secretary
128	SEO Strategist (Search Engine Optimization Strategist)
-1	Copper
-1	Mining Consultant
-1	Green End Man
-1	Studio Musician
-1	Tennis Professional
-1	Copyright Clerk
129	Golf Course Architect
-1	Hardener Helper
-1	President's Assistant
-1	Relief Pilot
-1	Special Events Director
-1	Bias Cutter Helper
-1	Signal Tower Operator
-1	.NET Programmer
130	Mortgage Processor
-1	Dirt Contractor
-1	Bingo Usher
-1	Coat Baster
-1	Griddle Attendant
-1	Hand Clerical Verifier
