2402	Deicer Kit Assembler
6933	Organizational Development Specialist (OD Specialist)
4089	Photoengraving Retoucher
7838	Hydraulic Engineer
6110	Tinsmith
7590	Adaptive Physical Education Teacher (Adaptive PE Teacher)
5513	Production Lapping Machine Operator
8397	HVAC Service Tech (Heating, Ventilation, and Air Conditioning Service Technician)
5603	Bag Washer
903	Map Editor
-1	Adult Daycare Coordinator
7406	Welding Operator
4245	Agriculture Research Director
7392	Robotics Engineer
9724	Electromechanical Technician
1742	Park Worker Supervisor
9102	Department Supervisor
897	Hand Tennis Ball Coverer
2463	Merchant Patroller
-1	Sand Technician
-1	Dump Motorman
3453	State Comptroller
-1	Tractor Distributor
5395	Lube Tech (Lubrication Technician)
3803	Pen or Pencil Assembly Machine Operator
2173	Soft Top Installer
-1	Halal Meat Packer
-1	Organ Tuner
651	Pyridine Recovery Operator
-1	Product Test Specialist
4359	Talking Books Library Clerk
1335	Flange Turner
6739	Machine Design Teacher
-1	Financial Aid Coordinator
7383	Fork Truck Driver
1037	Conduit Installer
2315	Metal Baler
8971	Elementary School Tutor
5582	Contact Lens Lathe Operator
2806	Maple Syrup Maker
1715	Gut Snatcher
8531	Radiation Therapy Dosimetrist (RT Dosimetrist)
556	Skate Hop
9681	Supply Room Clerk
-1	Claims Associate
-1	Coat Operator
-1	Airline Mechanic
-1	Water Truck Driver
-1	Housing Counselor
3986	Framer
5128	Cat Breeder
4845	Screener Operator
4430	Operations Chief
-1	Core Finisher
-1	Science Teacher
8410	Clinical Program Coordinator
-1	CAT Tender (Caterpillar Tender)
290	Vacuum Cleaner Assembler
-1	Register in Chancery
8633	Instrument and Controls Technician (Instrument and Controls Tech)
4051	Bobbin Dumper
349	Job Tracer
2090	Shank Pinner
8794	Geology Technician
-1	Track Patrol
1568	Field Gauger
5143	Family Services Coordinator
3134	Linguist
8778	Environmental Science Technician (Environmental Science Tech)
-1	Electronic Intelligence Officer
-1	Line Installation Supervisor
5276	Rigging Supervisor
-1	Technical Architect
1838	Tube Man
1440	Dolphin Researcher
8908	Computer Graphic Artist
-1	Credit Adjuster
1961	Nursing Technician
4871	Drying Tumbler Operator
-1	Airplane Patroller
-1	Cadastral Engineer
4447	Linoleum Floor Installer
2058	Farrowing Manager
4097	SAT Instructor (Scholastic Aptitude Test Instructor)
-1	Precision Lens Centerer and Edger
-1	Fish Filleter
7098	Medical-Surgical Registered Nurse (Med-Surg RN)
2859	Car Dryer
-1	Hand Sander
-1	Reimbursement Director
8082	Revolving Inventory Clerk
9315	Counterintelligence/Human Intelligence, Senior Sergeant
6530	Heart Surgeon
5523	Residential Finish Carpenter
3912	Drying Machine Tender
7691	Paralegal Secretary
6642	SEO Strategist (Search Engine Optimization Strategist)
-1	Copper
-1	Mining Consultant
869	Green End Man
-1	Studio Musician
5215	Tennis Professional
6371	Copyright Clerk
1454	Golf Course Architect
2338	Hardener Helper
-1	President's Assistant
3338	Relief Pilot
6731	Special Events Director
742	Bias Cutter Helper
4007	Signal Tower Operator
8495	.NET Programmer
6909	Mortgage Processor
-1	Dirt Contractor
732	Bingo Usher
-1	Coat Baster
2778	Griddle Attendant
1039	Hand Clerical Verifier
-1	Syrup Shed Supervisor
